SMILES,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds
CC(=O)[O-].[Na+] ,-4.2398,82.034,2,0,0
[OH-] ,-0.1768,17.007,1,0,0
FS(F)(F)(F)(F)F ,3.1693999999999996,146.055,0,0,0
OP(=O)(O)[O-] ,-1.5606000000000002,96.98599999999999,2,2,0
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC ,13.498599999999975,687.062,4,0,29
C(C[Ge](=O)O[Ge](=O)CCC(=O)O)C(=O)O ,-0.21020000000000044,339.35900000000004,5,2,8
C(C(F)(F)F)(OC(F)F)F ,2.0835,168.03599999999997,1,0,2
C(C(C(=O)O)S)(C(=O)O)S ,-0.24759999999999993,182.222,4,4,3
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2] ,0.5757199999999999,211.953,6,0,0
[H-].[H-].[Ba+2] ,-0.15580000000000002,139.344,0,0,0
COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3] ,-7.332700000000013,661.7670000000004,13,2,22
C(CC(C(F)F)(C(=O)O)N)CN ,-0.22749999999999948,182.17,3,3,5
[H-].[H-].[Sr+2] ,-0.15580000000000002,89.63600000000001,0,0,0
[H+].[H+].C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3] ,-9.133100000000011,547.5750000000003,13,0,16
C(C=O)C(C=O)O ,-0.8648,102.08899999999998,3,1,3
CC(=O)NO ,-0.4882999999999999,75.067,2,2,0
CCCCCCCCCCCCCCCCCCCCCCO ,7.800600000000008,326.60900000000004,1,1,20
[As] ,-0.3808,74.922,0,0,0
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN ,-1.2732000000000003,249.09599999999998,4,6,5
C(CN)CNCCSP(=O)(O)O ,-0.2492999999999997,214.22699999999998,4,4,7
C(CC(=O)O)CO ,-0.15649999999999997,104.10499999999999,2,2,3
C(CCCC(=O)O)CCCC(=O)O ,1.8863,188.22299999999996,2,2,8
COC(=O)CCC(=O)CN.Cl ,-0.11080000000000007,181.619,4,1,4
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO ,0.05669999999998049,1221.4729999999997,28,1,80
CCOP(=O)(OCC)SCC[N+](C)(C)C.[I-] ,-0.38909999999999867,383.23199999999997,4,0,8
CCCCCCOC(=O)CCC(=O)CN.Cl ,1.8397000000000001,251.75399999999996,4,1,9
CC(C[N+](C)(C)C)OC(=O)N ,0.17640000000000045,161.22499999999997,2,1,3
CS(=O)(=O)OCCCCOS(=O)(=O)C ,-0.2809999999999997,246.30599999999998,6,0,7
CC(C[N+](C)(C)C)OC(=O)C ,0.6442000000000001,160.23699999999997,2,0,3
C[N+](C)(C)CCOC(=O)N ,-0.2120999999999994,147.19799999999998,2,1,3
CCCC(C)(COC(=O)N)COC(=O)NC(C)C ,2.0227,260.334,4,2,7
C(CCl)NC(=O)N(CCCl)N=O ,1.157,214.05199999999996,3,1,5
[CH2]CC=O ,0.40949,57.072,1,0,1
C(O)(P(=O)(O)O)P(=O)(O)O ,-1.3823,191.99999999999997,3,5,2
[Se] ,-0.3808,78.96,0,0,0
[NH2-].[NH2-].Cl[Pt+2]Cl ,2.8107,298.03,0,0,0
[Li+].[Li+].C(=O)([O-])[O-] ,-8.439,73.89,3,0,0
CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O ,0.9221000000000046,560.6930000000007,9,6,23
CC(C)C[C@H](CC(=O)O)CN ,1.0821,159.22899999999998,2,2,5
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O ,-2.6845999999999934,393.34900000000016,8,5,16
C(C(CS)S)O ,0.20689999999999997,124.22999999999996,3,3,2
CCN(CC)C(=S)SSC(=S)N(CC)CC ,3.6212000000000026,296.5520000000001,4,0,4
CCCC(CCC)C(=O)O ,2.2874,144.214,1,1,5
COCCOC(=O)NCCCC[C@@H](C(=O)NCCCCCOP(=O)(C)O)NC(=O)OCCOC ,1.3888000000000014,513.5250000000003,9,4,20
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O ,5.9927000000000055,302.458,1,1,13
C(C(OC(F)F)(F)F)(F)Cl ,2.3528000000000002,184.49099999999999,1,0,3
CCC(CO)NCCNC(CC)CO ,-0.292599999999999,204.314,4,4,9
CC(O)(P(=O)(O)O)P(=O)(O)O ,-0.9922000000000002,206.027,3,5,2
C(=O)([O-])P(=O)([O-])[O-] ,-2.7566,122.97999999999999,5,0,1
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O ,0.4999999999999996,319.23100000000005,4,5,9
C(=O)(N)NO ,-0.9561000000000002,76.05499999999999,2,3,0
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Fe] ,0.8015499999999999,215.941,6,0,0
C(C(F)(F)F)(OC(F)F)Cl ,2.3528000000000002,184.49099999999999,1,0,2
[NH+](=O)[O-].[Na+] ,-4.6648,70.003,2,1,0
[Li+] ,-2.996,6.941,0,0,0
[Ra] ,0.0,226.0,0,0,0
[Li+].[OH-] ,-3.1728,23.948,1,0,0
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC ,2.1218000000000004,330.36400000000003,8,0,9
CN(CCCl)CCCl ,1.3958,156.056,1,0,4
CCCC(C)(COC(=O)N)COC(=O)N ,0.9834000000000003,218.25299999999996,4,2,6
CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3] ,-8.190600000000014,591.6760000000004,11,2,16
CN(C)C(=N)N=C(N)N ,-1.243829999999999,129.167,1,3,0
O.O.O.O.O.[O-]S(=O)(=S)[O-].[Na+].[Na+] ,-11.121999999999996,248.186,4,0,0
CCOCCP(CCOCC)CCP(CCOCC)CCOCC ,4.096200000000003,382.4620000000002,4,0,19
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[In] ,-3.0653999999999932,508.16700000000014,8,5,16
COC(=O)C=CC(=O)O ,-0.19980000000000003,130.099,3,1,2
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-] ,-1.0200999999999996,227.08499999999995,9,0,8
C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+] ,-8.919300000000002,279.03299999999996,6,4,4
CC(C)(CO)C(C(=O)NCCCO)O ,-1.1355999999999997,205.25399999999996,4,4,6
C(=O)([O-])[O-].[Na+].[Na+] ,-8.439,105.988,3,0,0
CC(C)(C(C(=O)O)N)S ,0.10670000000000035,149.215,3,3,2
CC(C(=O)[O-])O.[NH4+] ,-1.5067,107.109,3,2,1
C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3] ,-7.341000000000001,457.83599999999996,9,0,0
COCCOC(=O)NCCCC[C@@H](C(=O)NCCCCCCCOP(=O)(C)O)NC(=O)OCCOC ,2.1690000000000005,541.5790000000004,9,4,22
C(OC(C(F)(F)F)C(F)(F)F)F ,2.4232000000000005,200.05299999999997,1,0,2
[Na+].[I-] ,-5.992,149.894,0,0,0
CCCCCCCCCCCCCCOS(=O)(=O)O ,4.5069000000000035,294.457,3,1,14
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C ,0.2654000000000025,290.404,4,0,9
CC(C(=O)NCC(=O)O)S ,-0.49449999999999994,163.198,3,3,3
C(CNCCNCCN)N ,-1.916999999999998,146.238,4,4,7
CC(=O)NCCCS(=O)(=O)O ,-0.5995999999999997,181.213,3,2,4
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Na+].[Na+].[Na+].[Na+].[Fe+3] ,-11.182450000000001,307.90100000000007,6,0,0
C=CC(CCC(=O)O)N ,0.3645000000000001,129.159,2,2,4
Cl[Zn]Cl ,1.3765,136.296,0,0,0
[N]=O ,-0.44710000000000005,30.006,1,0,0
C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+] ,-9.202700000000002,390.078,5,0,3
C(=NC(=N)N)(N)N ,-1.84673,101.11300000000003,1,4,0
[O-][99Tc](=O)(=O)=O.[Na+] ,-4.5439,185.8922547,4,0,0
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O ,-2.0711999999999957,292.24399999999997,6,4,11
C(CS)N ,-0.12509999999999988,77.152,2,2,1
CC(=O)[O-].CC(=O)[O-].[Ca+2] ,-2.8683999999999985,158.166,4,0,0
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O ,18.202099999999977,909.3899999999998,3,3,40
[O-2].[O-2].[O-2].[249Cf].[249Cf] ,-0.3564,546.146707,0,0,0
CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.C(CN(CC(=O)O)CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-].[Gd+3] ,-13.405300000000006,938.005,23,14,28
C(C(F)(F)F)(C(F)(F)F)(F)F ,2.7462999999999997,188.01699999999997,0,0,0
CCOP(=O)(C(C)NC(=O)N(CCCl)N=O)OCC ,2.5303000000000004,315.6940000000001,6,1,9
C(C(CO)(CO)N)O ,-2.339199999999999,121.136,4,4,3
[O-]S(=O)(=S)[O-] ,-1.0065,112.131,4,0,0
O[Fe]=O.O[Fe]=O.[Fe] ,-1.3591,233.54699999999997,2,2,0
[O-2].[O-2].[O-2].[As+3].[As+3] ,-1.118,197.841,0,0,0
C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N ,-1.0272999999999997,190.155,3,4,5
F ,0.15250000000000002,20.006,0,0,0
C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.[Na+].[Fe+3] ,-6.4915999999999965,274.99,6,6,5
[Ga+3] ,-0.3808,69.723,0,0,0
C(=N)(N)N ,-1.1614300000000002,59.071999999999996,1,3,0
OP(=O)([O-])[O-].[K+].[K+] ,-8.1846,174.17399999999998,3,1,0
[Fe] ,-0.0025,55.845,0,0,0
[La] ,0.0,138.906,0,0,0
[Sm] ,0.0,150.36,0,0,0
[Ag] ,-0.0025,107.868,0,0,0
[Tc] ,-0.0025,98.0,0,0,0
[Cr] ,-0.0025,51.996,0,0,0
[Cu] ,-0.0025,63.546,0,0,0
[Gd] ,0.0,157.25,0,0,0
[Y] ,-0.0025,88.906,0,0,0
[Zn] ,-0.0025,65.39,0,0,0
S=[Se]=S ,0.9156,143.094,2,0,0
C(P(=O)(O)O)P(=O)(O)O ,-0.7007000000000001,176.001,2,4,2
[O-]S(=O)(=O)[O-].[Ba+2] ,-1.7187999999999997,233.391,4,0,0
[O-]S(=O)(=O)[O-].[Zn+2] ,-1.3404999999999996,161.45299999999997,4,0,0
C1=CC=C(C=C1)CO ,1.1788999999999998,108.13999999999997,1,1,1
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-] ,0.9089999999999998,323.13200000000006,5,3,6
C1=CC=C(C(=C1)C(=O)O)O ,1.0903999999999998,138.12199999999999,2,2,1
CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC ,5.167060000000005,326.4360000000001,2,1,6
CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl ,2.4208,270.76,4,1,6
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C ,3.2993000000000023,239.74599999999998,2,1,3
[H+].[H+].CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3] ,-14.264299999999979,1058.1559999999995,26,12,32
C1=CC(=C(C=C1CCN)O)O ,0.5989999999999995,153.181,3,3,2
C1=CC(=CC=C1O)O ,1.0977999999999999,110.11199999999997,2,2,0
CNCC(C1=CC(=C(C=C1)O)O)O ,0.35059999999999986,183.207,4,4,3
C1=CC(=C(C=C1C(CN)O)O)O ,0.08989999999999976,169.18,4,4,2
CC(CC1=CC=CC=C1)NC ,1.837,149.23699999999997,1,1,3
CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl ,3.626100000000002,343.939,3,3,12
C[C@@H](C(=O)O)N.CC(=O)O.C1=CC(=CC=C1C[C@@H](C(=O)O)N)O.C(CCN)C[C@@H](C(=O)O)N.C(CC(=O)O)[C@@H](C(=O)O)N ,-1.3538999999999932,623.6570000000005,12,12,13
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C ,2.3655,336.4320000000001,5,3,10
CC(=O)NC1=CC=C(C=C1)O ,1.3505999999999998,151.165,2,2,1
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O ,1.3059999999999998,239.315,4,4,4
CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I ,3.1154,613.9150000000001,3,3,3
C1=CC(=CC=C1C(=O)NCC(=O)O)N ,0.08320000000000022,194.18999999999997,3,3,3
CC(=O)OC1=CC=CC=C1C(=O)O ,1.3101,180.15899999999996,3,1,2
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O ,0.4521,266.34099999999995,4,3,8
C1=CC(=CC=C1C(CC(=O)O)CN)Cl ,1.8569999999999995,213.66399999999996,2,2,4
CCOC(=O)C1=CC=C(C=C1)N ,1.4455,165.19199999999998,3,1,2
CCC(C1=CC(=CC=C1)O)C(C)CN(C)C ,3.0835000000000017,221.34399999999997,2,1,5
CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O ,2.3659000000000003,325.449,5,2,12
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O ,1.5298999999999998,295.379,5,2,9
CC[N+](C)(C)CC1=CC=CC=C1Br ,3.0454000000000017,243.16799999999998,0,0,3
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC ,3.789600000000002,305.41800000000006,3,2,9
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN ,-0.05309999999999998,226.232,5,5,4
CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C ,2.8907000000000016,379.50100000000015,5,3,9
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl ,1.7379,276.745,3,2,4
CCN(C1=CC=CC=C1C)C(=O)C=CC ,2.9240200000000014,203.28499999999997,1,0,3
CC(CC1=CC=CC=C1)N ,1.5763,135.20999999999995,1,1,2
C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N ,0.28820000000000023,305.16400000000004,4,2,2
CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C ,2.8424000000000014,351.44300000000015,6,2,5
CC(CC1=CC=C(C=C1)O)(C(=O)O)N ,0.7366999999999997,195.21799999999996,3,3,3
C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O ,-0.4569000000000003,213.189,5,5,3
CC[N+](C)(C)C1=CC(=CC=C1)O ,1.9790000000000005,166.244,1,1,2
CC(C)[C@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N ,3.293500000000003,551.7690000000002,7,4,19
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl ,3.6057000000000015,303.14099999999996,3,1,6
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N ,0.9608000000000003,238.24299999999994,4,2,5
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F ,3.2081000000000017,276.21399999999994,3,1,3
COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F ,3.201500000000001,318.339,4,1,9
CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O ,3.573240000000002,250.33799999999994,2,1,6
C1=CC(=CC(=C1)I)CN=C(N)N ,1.0646000000000002,275.093,1,2,2
C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl ,1.6006999999999998,231.08599999999996,2,2,2
C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl ,1.3358999999999996,246.09699999999998,1,2,2
C1=CC(=CC=C1SC(P(=O)(O)[O-])P(=O)(O)[O-])Cl.[Na+].[Na+] ,-5.184899999999998,362.57500000000005,5,2,4
C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N.C(C(CO)(CO)N)O ,-2.081319999999999,432.77300000000025,9,8,5
C1=C(C=C(C(=C1NC(=O)C(=O)O)Cl)NC(=O)C(=O)O)C#N ,0.25787999999999983,311.63700000000006,5,4,2
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O ,3.073200000000001,206.28499999999997,1,1,4
C1=CC=C(C=C1)CCNN ,0.6924000000000001,136.19799999999998,2,2,3
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C ,2.5837400000000006,234.343,2,1,5
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I ,-1.6274999999999986,821.1410000000001,9,8,12
CC(C(=O)NC1=C(C(=C(C(=C1I)C(=O)NC(CO)CO)I)C(=O)NC(CO)CO)I)O ,-1.0143000000000004,777.0880000000001,8,8,10
CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I ,-0.40650000000000075,791.1149999999999,8,6,11
CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)C(=O)NC)I ,2.5166000000000004,613.9150000000001,3,3,3
C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO ,-2.0159999999999987,807.1140000000001,9,8,12
CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I ,-0.9884,791.115,8,7,11
CC(C)NCC(C1=CC(=C(C=C1)O)O)O ,1.1291999999999998,211.261,4,4,4
C1=CC=C(C=C1)CC(C(=O)O)O ,0.6745999999999999,166.176,2,2,3
C1=CC(=CC=C1CN)S(=O)(=O)N ,-0.20729999999999993,186.236,3,2,2
C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl ,1.925,305.2049999999999,3,2,8
C1=CC(=C(C=C1N)C(=O)O)O ,0.6725999999999999,153.137,3,3,1
CC(C)NCC(C1=CC(=CC(=C1)O)O)O ,1.1291999999999998,211.261,4,4,4
COC1=CC=CC=C1OCC(COC(=O)N)O ,0.5301999999999998,241.24299999999994,5,2,6
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N ,0.44229999999999997,211.21699999999998,4,4,3
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl ,2.0023999999999997,299.802,4,2,7
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O ,1.6131999999999997,267.36899999999997,4,2,9
CC1=C(C(=CC=C1)C)OCC(C)N ,2.0294399999999997,179.26299999999995,2,1,3
COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O ,-0.18790000000000023,254.28599999999997,5,3,6
CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C ,1.9437,223.29599999999996,2,0,2
CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O ,2.999480000000001,270.21,3,2,2
CC(C)NCC(COC1=CC=CC=C1OCC=C)O ,1.9891,265.35299999999995,4,2,9
C1=CC(=C(C=C1N)O)C(=O)O ,0.6726,153.137,3,3,1
COC1=CC=CC=C1OCC(CO)O ,0.4272000000000001,198.21799999999996,4,2,5
CC(C)(CC1=CC=CC=C1)N ,1.9664000000000001,149.23699999999997,1,1,2
C1=CC=C(C=C1)CCCC(=O)O ,2.0939,164.20399999999998,1,1,4
CNCC(C1=CC(=CC=C1)O)O ,0.6449999999999998,167.208,3,3,3
C=CC1=CC=CC=C1S(=O)(=O)O ,1.5763000000000003,184.21599999999998,2,1,2
CC(C(C1=CC=CC=C1)O)N ,1.0672000000000001,151.20899999999997,2,2,2
CCCNC(C)C(=O)NC1=CC=CC=C1C ,2.3216200000000002,220.316,2,2,5
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O ,2.1955,285.365,3,1,7
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N ,1.3403999999999998,235.33100000000002,3,2,6
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N ,1.7673999999999999,236.315,4,1,6
CC(C)NC(=O)C1=CC=C(C=C1)CNNC ,1.0488,221.304,3,3,5
CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl ,1.7897,253.73700000000005,1,3,2
CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N ,2.5561999999999996,294.395,5,1,9
CC(C)C1=C(C(=CC=C1)C(C)C)O ,3.6390000000000033,178.27499999999998,1,1,2
CC1=CC(=C(C(=C1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C ,1.7840599999999998,387.23,4,3,7
CC(C(C1=CC=CC=C1)O)NC ,1.3278999999999999,165.236,2,2,3
CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C ,2.7597000000000014,250.34199999999998,3,0,4
CC(CC1=CC=CC=C1)N(C)CC#C ,2.1826,187.28599999999994,1,0,4
C1=CC=C(C=C1)C(=O)SCC(=O)NCC(=O)NCC(=O)NCC(=O)O ,-1.0067999999999984,367.3830000000001,6,4,9
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O ,1.0895,272.37,4,3,6
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO ,2.4710999999999994,264.3249999999999,3,3,8
CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N ,0.09360000000000002,214.246,4,2,2
C1=CC(=CC=C1N)S(=O)(=O)N ,-0.08379999999999999,172.20899999999997,3,2,1
CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O ,1.5192999999999999,225.288,4,4,3
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C ,2.617000000000001,264.36899999999997,4,1,8
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C ,1.78302,270.354,3,2,5
C[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](CCCCN)N.CS(=O)(=O)O.CS(=O)(=O)O ,0.19810000000000472,455.5990000000001,7,5,8
CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1 ,0.45390000000000025,250.298,3,2,6
[H+].[H+].CCOC1=CC=C(C=C1)C[C@@H](CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Gd+3] ,-7.1231000000000115,681.7530000000004,14,0,20
CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N ,1.7813799999999995,305.2900000000001,6,2,5
CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O ,2.27486,309.406,5,2,7
CCC(C1=CC=CC=C1)C(=O)O ,2.2647999999999997,164.20399999999995,1,1,3
CCN(CC)C(C)C(=O)C1=CC=CC=C1 ,2.5996000000000006,205.30100000000002,2,0,5
CC(C)C1=C(C(=CC=C1)C(C)C)OCOP(=O)([O-])[O-].[Na+].[Na+] ,-3.8769999999999962,332.24399999999997,5,0,6
C1=CC(=C(C=C1CC(C(=O)O)N)CO)OP(=O)(O)O ,-0.3952000000000002,291.19599999999997,5,5,6
CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC ,2.8346000000000027,603.7500000000003,12,1,32
C[C@@H](C(=O)O)N.C1=CC(=CC=C1C[C@@H](C(=O)O)N)O.C(CCN)C[C@@H](C(=O)O)N.C(CC(=O)O)[C@@H](C(=O)O)N ,-1.4447999999999928,563.6050000000004,11,11,13
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl ,3.3779000000000012,304.217,2,1,9
CC1CC2C3CCC4=CC(=O)C=CC4([C@]3(C(CC2([C@]1(C(=O)CCl)O)C)O)F)C ,3.1422000000000017,410.91300000000007,4,2,2
C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C)F ,3.090200000000002,428.90300000000013,4,2,2
